domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_four,HPF,NDCG,high,N/A,0.6301670272129387,
music,eva_two,pop_four,MostPop,GAP,low,N/A,-42.25367770201453,
music,eva_two,pop_four,UserKNN,GAP,low,N/A,-52.76077800118762,
music,eva_two,pop_four,ItemKNN,GAP,low,N/A,-62.14984401926964,
music,eva_two,pop_four,PMF,GAP,low,N/A,114.41264193603548,
music,eva_two,pop_four,NMF,GAP,low,N/A,-40.01448560212626,
music,eva_two,pop_four,HPF,GAP,low,N/A,-24.249366091725538,
music,eva_two,pop_four,MostPop,GAP,med,N/A,-54.21137151881599,
music,eva_two,pop_four,UserKNN,GAP,med,N/A,-64.79570079407488,
music,eva_two,pop_four,ItemKNN,GAP,med,N/A,-74.79402069432129,
music,eva_two,pop_four,PMF,GAP,med,N/A,172.92015313748553,
music,eva_two,pop_four,NMF,GAP,med,N/A,-52.30476323405624,
music,eva_two,pop_four,HPF,GAP,med,N/A,-36.36367208962367,
music,eva_two,pop_four,MostPop,GAP,high,N/A,-44.75085865252602,
music,eva_two,pop_four,UserKNN,GAP,high,N/A,-62.40422578017654,
music,eva_two,pop_four,ItemKNN,GAP,high,N/A,-69.37087034961021,
music,eva_two,pop_four,PMF,GAP,high,N/A,176.9117561578553,
music,eva_two,pop_four,NMF,GAP,high,N/A,-44.05980404975743,
music,eva_two,pop_four,HPF,GAP,high,N/A,-32.015198912882056,
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,low-med,,0.3881969662244099
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,low-med,,0.571207362037552
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,low-med,,0.1704732424704963
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,low-med,,0.0998074461141776
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,low-med,,0.2106809468056794
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,low-med,,0.0339882208865654
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,low-high,,4.520332257018509e-06
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,low-high,,0.0819400567293
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0038453173120874
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,low-high,,0.3374967985905057
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,low-high,,8.632334216096213e-05
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,low-high,,0.2825870328357529
music,eva_two,pop_four,MostPop,NDCG_TTEST,N/A,med-high,,2.726621023506695e-06
music,eva_two,pop_four,UserKNN,NDCG_TTEST,N/A,med-high,,0.0055285899191881
music,eva_two,pop_four,ItemKNN,NDCG_TTEST,N/A,med-high,,0.0323028625385876
music,eva_two,pop_four,PMF,NDCG_TTEST,N/A,med-high,,0.6697121486398987
music,eva_two,pop_four,NMF,NDCG_TTEST,N/A,med-high,,0.0003844473928444
music,eva_two,pop_four,HPF,NDCG_TTEST,N/A,med-high,,0.0005560079756255
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,low-med,,1.537330528119695e-11
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,low-med,,1.1333838171566461e-12
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-med,,7.538171051824002e-15
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-med,,1.1772952825954062e-75
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-med,,1.717975067864969e-12
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-med,,2.620214457911391e-11
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,low-high,,0.2572038234457252
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,low-high,,2.3767461504224644e-06
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-high,,0.0002262279946061
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-high,,7.502042260281995e-24
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-high,,0.0675400934736142
