domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-med,,1.5542438629964341e-18
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-med,,2.784673203675501e-78
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-med,,1.2676618855048467e-09
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-med,,4.3081170779565885e-06
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,low-high,,0.3742493837902015
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,low-high,,9.36405617282466e-09
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,low-high,,1.9329876724925755e-08
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,low-high,,3.730958458690276e-26
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,low-high,,0.2148144855313358
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,low-high,,0.0038955529770755
music,eva_two,pop_four,MostPop,GAP_TTEST,N/A,med-high,,0.0005646822309368
music,eva_two,pop_four,UserKNN,GAP_TTEST,N/A,med-high,,0.7809195399601209
music,eva_two,pop_four,ItemKNN,GAP_TTEST,N/A,med-high,,0.0180946710890618
music,eva_two,pop_four,PMF,GAP_TTEST,N/A,med-high,,0.2030257420402135
music,eva_two,pop_four,NMF,GAP_TTEST,N/A,med-high,,6.784114271712393e-05
music,eva_two,pop_four,HPF,GAP_TTEST,N/A,med-high,,0.576466490525159
music,eva_three,pop_one,MostPop,NDCG,low,N/A,0.0368404968767638,
music,eva_three,pop_one,UserKNN,NDCG,low,N/A,0.0118524125209943,
music,eva_three,pop_one,ItemKNN,NDCG,low,N/A,0.0125215340724791,
music,eva_three,pop_one,PMF,NDCG,low,N/A,0.1121613319970473,
music,eva_three,pop_one,NMF,NDCG,low,N/A,0.0194747127531682,
music,eva_three,pop_one,HPF,NDCG,low,N/A,0.0394202417416518,
music,eva_three,pop_one,MostPop,NDCG,med,N/A,0.0452858834082723,
music,eva_three,pop_one,UserKNN,NDCG,med,N/A,0.0087318833641111,
music,eva_three,pop_one,ItemKNN,NDCG,med,N/A,0.0079861025184216,
music,eva_three,pop_one,PMF,NDCG,med,N/A,0.2523299376290964,
music,eva_three,pop_one,NMF,NDCG,med,N/A,0.0131936595792068,
music,eva_three,pop_one,HPF,NDCG,med,N/A,0.0586211404386354,
music,eva_three,pop_one,MostPop,NDCG,high,N/A,0.0304490603390315,
music,eva_three,pop_one,UserKNN,NDCG,high,N/A,0.0019444444444444,
music,eva_three,pop_one,ItemKNN,NDCG,high,N/A,0.0010754533557098,
music,eva_three,pop_one,PMF,NDCG,high,N/A,0.2719789417195629,
music,eva_three,pop_one,NMF,NDCG,high,N/A,0.0039162887466471,
music,eva_three,pop_one,HPF,NDCG,high,N/A,0.0334413138838576,
music,eva_three,pop_one,MostPop,GAP,low,N/A,-13.3089961941974,
music,eva_three,pop_one,UserKNN,GAP,low,N/A,-81.57482445969082,
music,eva_three,pop_one,ItemKNN,GAP,low,N/A,-83.51337683567715,
music,eva_three,pop_one,PMF,GAP,low,N/A,412.6031802945154,
music,eva_three,pop_one,NMF,GAP,low,N/A,-72.91318915151614,
music,eva_three,pop_one,HPF,GAP,low,N/A,-60.4402794128705,
music,eva_three,pop_one,MostPop,GAP,med,N/A,-47.40614512978139,
music,eva_three,pop_one,UserKNN,GAP,med,N/A,-88.69059027454195,
music,eva_three,pop_one,ItemKNN,GAP,med,N/A,-90.02618395548299,
music,eva_three,pop_one,PMF,GAP,med,N/A,197.6668560359571,
music,eva_three,pop_one,NMF,GAP,med,N/A,-83.7751428983376,
music,eva_three,pop_one,HPF,GAP,med,N/A,-70.97895382038749,
music,eva_three,pop_one,MostPop,GAP,high,N/A,-63.4883790059497,
music,eva_three,pop_one,UserKNN,GAP,high,N/A,-92.17413238349276,
music,eva_three,pop_one,ItemKNN,GAP,high,N/A,-93.07673968760328,
music,eva_three,pop_one,PMF,GAP,high,N/A,104.70362378276803,
music,eva_three,pop_one,NMF,GAP,high,N/A,-88.67581832954554,
music,eva_three,pop_one,HPF,GAP,high,N/A,-75.12955540782644,
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-med,,0.1854619365071601
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-med,,0.3651059165489941
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-med,,0.2753184591300363
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-med,,2.4962780887811717e-31
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-med,,0.1787111810735822
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-med,,0.0050848768384065
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,low-high,,0.4027998251077082
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,low-high,,0.0026247744038877
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0036135417068565
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,low-high,,1.5496375657355274e-26
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,low-high,,0.0006445868143967
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,low-high,,0.4318109960700681
music,eva_three,pop_one,MostPop,NDCG_TTEST,N/A,med-high,,0.0240991955931406
music,eva_three,pop_one,UserKNN,NDCG_TTEST,N/A,med-high,,0.0004268337018109
music,eva_three,pop_one,ItemKNN,NDCG_TTEST,N/A,med-high,,8.273098897712993e-05
music,eva_three,pop_one,PMF,NDCG_TTEST,N/A,med-high,,0.1247681336762597
music,eva_three,pop_one,NMF,NDCG_TTEST,N/A,med-high,,0.0003364412743469
music,eva_three,pop_one,HPF,NDCG_TTEST,N/A,med-high,,0.0001067474869672
music,eva_three,pop_one,MostPop,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,UserKNN,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,ItemKNN,GAP_TTEST,N/A,low-med,,6.850051214617396e-254
music,eva_three,pop_one,PMF,GAP_TTEST,N/A,low-med,,0.0
music,eva_three,pop_one,NMF,GAP_TTEST,N/A,low-med,,2.8325117273059184e-123
music,eva_three,pop_one,HPF,GAP_TTEST,N/A,low-med,,1.0862809381607852e-39
