domain,evaluation_strategy,popularity_notion,algorithm,metric_type,user_group,comparison_group,value,p_value
music,eva_two,pop_two,NMF,GAP,med,N/A,21.73808706810306,
music,eva_two,pop_two,HPF,GAP,med,N/A,91.150789058822,
music,eva_two,pop_two,MostPop,GAP,high,N/A,99.8664382376089,
music,eva_two,pop_two,UserKNN,GAP,high,N/A,27.63037933324225,
music,eva_two,pop_two,ItemKNN,GAP,high,N/A,17.522501178253926,
music,eva_two,pop_two,PMF,GAP,high,N/A,54.72365643101866,
music,eva_two,pop_two,NMF,GAP,high,N/A,25.218170630170984,
music,eva_two,pop_two,HPF,GAP,high,N/A,62.94097407805573,
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-med,,0.0127598932558147
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-med,,0.0012369742828696
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-med,,0.0026657248935478
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-med,,0.302436217013761
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-med,,0.0114870490490781
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-med,,0.0008405935905825
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,low-high,,0.6749970040124385
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,low-high,,0.011973427652817
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,low-high,,0.0215116733318162
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,low-high,,0.2405922684332112
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,low-high,,0.1837770269828252
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,low-high,,0.0586895444193876
music,eva_two,pop_two,MostPop,NDCG_TTEST,N/A,med-high,,0.052489116396661
music,eva_two,pop_two,UserKNN,NDCG_TTEST,N/A,med-high,,0.8972928436074901
music,eva_two,pop_two,ItemKNN,NDCG_TTEST,N/A,med-high,,0.8472286645804225
music,eva_two,pop_two,PMF,NDCG_TTEST,N/A,med-high,,0.6881847225712783
music,eva_two,pop_two,NMF,NDCG_TTEST,N/A,med-high,,0.3465332199192463
music,eva_two,pop_two,HPF,NDCG_TTEST,N/A,med-high,,0.3358091840442188
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-med,,0.0061961051656472
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-med,,5.892815965471577e-06
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-med,,0.0157682539986966
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-med,,2.837006279757949e-06
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-med,,9.99810929219176e-05
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-med,,4.806748580926707e-07
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,low-high,,1.957806901901553e-47
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,low-high,,0.1567819391572154
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,low-high,,8.543290236067846e-11
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,low-high,,0.1952589926633717
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,low-high,,1.5203920167755126e-06
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,low-high,,0.2152503788014116
music,eva_two,pop_two,MostPop,GAP_TTEST,N/A,med-high,,1.2581782834796441e-150
music,eva_two,pop_two,UserKNN,GAP_TTEST,N/A,med-high,,7.700656834265344e-06
music,eva_two,pop_two,ItemKNN,GAP_TTEST,N/A,med-high,,1.6255733913287803e-09
music,eva_two,pop_two,PMF,GAP_TTEST,N/A,med-high,,2.463487184407928e-20
music,eva_two,pop_two,NMF,GAP_TTEST,N/A,med-high,,0.0767589433429345
music,eva_two,pop_two,HPF,GAP_TTEST,N/A,med-high,,7.903676979215737e-24
music,eva_two,pop_four,MostPop,NDCG,low,N/A,0.6318733837101421,
music,eva_two,pop_four,UserKNN,NDCG,low,N/A,0.6243883828601736,
music,eva_two,pop_four,ItemKNN,NDCG,low,N/A,0.6134637820040643,
music,eva_two,pop_four,PMF,NDCG,low,N/A,0.6235732401614792,
music,eva_two,pop_four,NMF,NDCG,low,N/A,0.6205302937171842,
music,eva_two,pop_four,HPF,NDCG,low,N/A,0.645607339756801,
music,eva_two,pop_four,MostPop,NDCG,med,N/A,0.6249528784793765,
